commit_sha,commit_dt,entry_dt,entry_title,entry_link
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-10-27T12:45:10+00:00,FEMA Daily Ops Briefing 10-27-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/10/27/file_attachments/2310697/FEMA%20Daily%20Ops%20Briefing%2010-27-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-10-28T12:43:59+00:00,FEMA Daily Ops Briefing 10-28-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/10/28/file_attachments/2312111/FEMA%20Daily%20Ops%20Briefing%2010-28-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-10-29T12:17:54+00:00,FEMA Daily Ops Briefing 10-29-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/10/29/file_attachments/2313389/FEMA%20Daily%20Ops%20Briefing%2010-29-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-10-30T12:30:15+00:00,FEMA Daily Ops Briefing 10-30-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/10/30/file_attachments/2313498/FEMA%20Daily%20Ops%20Briefing%2010-30-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-10-31T13:03:12+00:00,FEMA Daily Ops Briefing 10-31-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/10/31/file_attachments/2313871/FEMA%20Daily%20Ops%20Briefing%2010-31-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-01T13:20:31+00:00,FEMA Daily Ops Briefing 11-1-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/01/file_attachments/2315610/FEMA%20Daily%20Ops%20Briefing%2011-1-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-02T13:00:52+00:00,FEMA Daily Ops Briefing 11-2-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/02/file_attachments/2317691/FEMA%20Daily%20Ops%20Briefing%2011-2-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-03T12:48:34+00:00,FEMA Daily Ops Briefing 11-3-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/03/file_attachments/2319047/FEMA%20Daily%20Ops%20Briefing%2011-3-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-04T13:41:45+00:00,FEMA Daily Ops Briefing 11-4-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/04/file_attachments/2320340/FEMA%20Daily%20Ops%20Briefing%2011-4-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-05T13:37:12+00:00,FEMA Daily Ops Briefing 11-5-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/05/file_attachments/2321328/FEMA%20Daily%20Ops%20Briefing%2011-5-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-06T14:07:56+00:00,FEMA Daily Ops Briefing 11-6-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/06/file_attachments/2321431/FEMA%20Daily%20Ops%20Briefing%2011-6-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-07T14:06:15+00:00,FEMA Daily Ops Briefing 11-7-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/07/file_attachments/2321863/FEMA%20Daily%20Ops%20Briefing%2011-7-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-08T15:52:27+00:00,FEMA Daily Ops Briefing 11-8-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/08/file_attachments/2323108/FEMA%20Daily%20Ops%20Briefing%2011-8-2022.pdf
351776b2a01fe4acfc418c8e314c6e21f09780cf,2022-11-17T21:03:41+00:00,2022-11-09T14:15:25+00:00,FEMA Daily Ops Briefing 11-9-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/09/file_attachments/2324499/FEMA%20Daily%20Ops%20Briefing%2011-9-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-10T14:09:59+00:00,FEMA Daily Ops Briefing 11-10-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/10/file_attachments/2325857/FEMA%20Daily%20Ops%20Briefing%2011-10-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-10T14:28:54+00:00,FEMA Daily Ops Briefing 11-10-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/10/file_attachments/2325885/FEMA%20Daily%20Ops%20Briefing%2011-10-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-11T14:11:31+00:00,FEMA Daily Ops Briefing 11-11-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/11/file_attachments/2327038/FEMA%20Daily%20Ops%20Briefing%2011-11-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-12T13:41:31+00:00,FEMA Daily Ops Briefing 11-12-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/12/file_attachments/2327349/FEMA%20Daily%20Ops%20Briefing%2011-12-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-13T13:56:53+00:00,FEMA Daily Ops Briefing 11-13-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/13/file_attachments/2327473/FEMA%20Daily%20Ops%20Briefing%2011-13-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-14T13:50:28+00:00,FEMA Daily Ops Briefing 11-14-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/14/file_attachments/2327829/FEMA%20Daily%20Ops%20Briefing%2011-14-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-15T13:55:18+00:00,FEMA Daily Ops Briefing 11-15-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/15/file_attachments/2328950/FEMA%20Daily%20Ops%20Briefing%2011-15-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-16T13:45:12+00:00,FEMA Daily Ops Briefing 11-16-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/16/file_attachments/2330303/FEMA%20Daily%20Ops%20Briefing%2011-16-2022.pdf
076605ef072e990a39ec56da145515ad1adb059b,2022-11-17T21:27:10+00:00,2022-11-17T14:03:08+00:00,FEMA Daily Ops Briefing 11-17-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/17/file_attachments/2331538/FEMA%20Daily%20Ops%20Briefing%2011-17-2022.pdf
5f3afc2f5f0d6ee591b68c35d570aff7b2f2aaba,2022-11-18T17:28:11+00:00,2022-11-18T13:57:37+00:00,FEMA Daily Ops Briefing 11-18-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/18/file_attachments/2332719/FEMA%20Daily%20Ops%20Briefing%2011-18-2022.pdf
95d7ea477e68e8919e15ab7d5974b39196fa5473,2022-11-19T13:41:56+00:00,2022-11-19T13:30:46+00:00,FEMA Daily Ops Briefing 11-19-2022,https://content.govdelivery.com/attachments/USDHSFEMA/2022/11/19/file_attachments/2333725/FEMA%20Daily%20Ops%20Briefing%2011-19-2022.pdf
